BiolFlor-Name;Flower type after KUGLER
Achillea atrata L.;7.2c
Achillea clavennae L.;7.2c
Achillea collina Becker ex Rchb.;7.2c
Achillea millefolium L.;7.2c
Achillea pannonica Scheele;7.2c
Achillea pratensis Saukel & R. L�nger;7.2c
Achillea roseoalba Ehrend.;7.2c
Achillea setacea Waldst. & Kit.;7.2c
Acinos alpinus (L.) Moench;5.1
Aconitum degenii (Arcang.) Mucher;5.2
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;5.2
Aconitum napellus L.;5.2
Aconitum plicatum K�hler ex Rchb.;5.2
Aconitum tauricum Wulfen;5.2
Aconitum variegatum L.;5.2
Adenostyles alliariae (Gouan) A. Kern.;7.2a
Adenostyles glabra (Mill.) DC.;7.2a
Aegopodium podagraria L.;1.2a
Agrostis alpina Scop.;0
Agrostis capillaris L.;0
Agrostis schleicheri Jord. & Verl.;0
Ajuga reptans L.;5.1
Alchemilla alpigena Buser;1.2a
Alchemilla cleistophylla Rothm. & O. Schwarz;1.2a
Alchemilla connivens Buser;1.2a
Alchemilla coriacea Buser;1.2a
Alchemilla crinita Buser;1.2a
Alchemilla cymatophylla Juz.;1.2a
Alchemilla decumbens Buser;1.2a
Alchemilla effusa Buser;1.2a
Alchemilla filicaulis Buser;1.2a
Alchemilla fissa G�nther & Schummel;1.2a
Alchemilla glabra Neygenf.;1.2a
Alchemilla glaucescens Wallr.;1.2a
Alchemilla glomerulans Buser;1.2a
Alchemilla hoppeana (Rchb.) Dalla Torre;1.2a
Alchemilla impexa Buser;1.2a
Alchemilla lineata Buser;1.2a
Alchemilla lunaria S. E. Fr�hner;1.2a
Alchemilla micans Buser;1.2a
Alchemilla monticola Opiz;1.2a
Alchemilla obtusa Buser;1.2a
Alchemilla pallens Buser;1.2a
Alchemilla propinqua H. Lindb. ex Juz.;1.2a
Alchemilla reniformis Buser;1.2a
Alchemilla rubristipula Buser;1.2a
Alchemilla straminea Buser;1.2a
Alchemilla strigosula Buser;1.2a
Alchemilla subcrenata Buser;1.2a
Alchemilla subglobosa C. G. Westerl.;1.2a
Alchemilla tenuis Buser;1.2a
Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.;1.2a
Alchemilla undulata Buser;1.2a
Alchemilla versipila Buser;1.2a
Alchemilla vulgaris L.;1.2a
Alchemilla xanthochlora Rothm.;1.2a
Allium carinatum L. s. str.;1.2bd
Allium cirrhosum Vand.;1.2bd
Androsace chamaejasme Wulfen;4.1
Anemone narcissiflora L.;1.1
Anemone nemorosa L.;1.1
Antennaria dioica (L.) Gaertn.;7.2a
Anthericum ramosum L.;1.2a
Anthoxanthum alpinum �. L�ve & D. L�ve;0
Anthoxanthum aristatum Boiss.;0
Anthoxanthum odoratum L. s. str.;0
Anthriscus nitida (Wahlenb.) Hazsl.;1.2a
Anthriscus sylvestris (L.) Hoffm.;1.2a
Anthyllis vulneraria L. s. l.;6.1c
Aposeris foetida (L.) Less.;7.2b
Aquilegia atrata W. D. J. Koch;3.2
Arabis alpina L. s. str.;1.2bb
Arabis bellidifolia Crantz s. l.;1.2bb
Arabis caerulea All.;1.2bb
Arabis caucasica Willd.;1.2bb
Arabis ciliata Clairv.;1.2bb
Arabis hirsuta (L.) Scop.;1.2bb
Arabis nemorensis (Wolf ex Hoffm.) W. D. J. Koch;1.2bb
Arabis sagittata (Bertol.) DC.;1.2bb
Arctostaphylos alpinus (L.) Spreng.;3.1
Arenaria ciliata L. s. l.;1.2bb
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl;0
Aster bellidiastrum (L.) Scop.;7.2c
Bartsia alpina L.;5.3
Bellis perennis L.;7.2c
Berberis vulgaris L.;1.2bc
Betonica alopecuros L.;5.1
Betonica officinalis L.;5.1
Biscutella laevigata L.;1.2bb
Bistorta vivipara (L.) Delarbre;3.2
Brachypodium pinnatum (L.) P. Beauv.;0
Brachypodium rupestre (Host) Roem. & Schult.;0
Brachypodium sylvaticum (Huds.) P. Beauv.;0
Briza media L.;0
Buphthalmum salicifolium L.;7.2c
Calamagrostis varia (Schrad.) Host;0
Calluna vulgaris (L.) Hull;3.1
Caltha palustris L.;1.2bd
Campanula alpina Jacq.;3.2
Campanula cochleariifolia Lam.;3.2
Campanula glomerata L.;3.2
Campanula patula L.;3.2
Campanula scheuchzeri Vill.;3.2
Campanula trachelium L.;3.2
Cardamine dentata Schult.;1.2bb
Cardamine pratensis L. (s. l.);1.2bb
Cardamine udicola Jord.;1.2bb
Carduus defloratus L.;7.2a
Carex alba Scop.;0
Carex atrata L. s. l.;0
Carex caryophyllea Latourr.;0
Carex digitata L.;0
Carex ericetorum Pollich;0
Carex ferruginea Scop.;0
Carex firma (Mygind) Host;0
Carex flacca Schreb.;0
Carex nigra (L.) Reichard;0
Carex ovalis Good.;0
Carex pallescens L.;0
Carex panicea L.;0
Carex parviflora Host;0
Carex sempervirens Vill.;0
Carex vaginata Tausch;0
Carlina acaulis L.;7.2a
Carlina biebersteinii Bernh. ex Hornem.;7.2a
Carlina vulgaris L. s. str.;7.2a
Carum carvi L.;1.2a
Centaurea jacea L. s. l.;7.2a
Centaurea microptilon (Godr.) Gren. & Godr.;7.2a
Centaurea scabiosa L. s. l.;7.2a
Cephalanthera longifolia (L.) Fritsch;5.4
Cerastium fontanum Baumg. s. str.;1.2bb
Cerastium holosteoides Fr.;1.2bb
Cerastium latifolium L.;1.2bb
Cerastium lucorum (Schur) M�schl;1.2bb
Chaerophyllum hirsutum L. s. l.;1.2a
Chrysosplenium alternifolium L.;1.2a
Cirsium arvense (L.) Scop.;7.2a
Cirsium oleraceum (L.) Scop.;7.2a
Cirsium palustre (L.) Scop.;7.2a
Cirsium spinosissimum (L.) Scop.;7.2a
Cirsium vulgare (Savi) Ten.;7.2a
Clinopodium vulgare L.;5.1
Coeloglossum viride (L.) Hartm.;5.4
Convallaria majalis L.;3.1
Crepis alpestris (Jacq.) Tausch;7.2b
Crepis aurea (L.) Cass.;7.2b
Crepis biennis L.;7.2b
Crepis paludosa (L.) Moench;7.2b
Crepis terglouensis (Hacq.) Kern.;7.2b
Crocus albiflorus Kit.;2.1
Crocus vernus (L.) Hill s. str.;2.1
Cruciata laevipes Opiz;1.2a
Cuscuta epithymum (L.) L. s. str.;3.2
Cuscuta trifolii Bab. & Gibson;3.2
Cynosurus cristatus L.;0
Dactylis glomerata L. s. str.;0
Dactylis polygama Horv.;0
Dactylorhiza cruenta (O. F. M�ller) So�;5.4
Dactylorhiza curvifolia (Nyl.) Czerep.;5.4
Dactylorhiza fuchsii (Druce) So�;5.4
Dactylorhiza incarnata (L.) So�;5.4
Dactylorhiza lapponica (Hartm.) So�;5.4
Dactylorhiza maculata (L.) So� s. str.;5.4
Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.;5.4
Dactylorhiza praetermissa (Druce) So�;5.4
Dactylorhiza ruthei (M. Schulze & Ruthe) So�;5.4
Dactylorhiza sphagnicola (H�ppner) So�;5.4
Dactylorhiza traunsteineri (Saut.) So� s. str.;5.4
Dactylorhiza x transiens (Druce) So� (Dactylorhiza fuchsii x D. maculata);5.4
Daphne mezereum L.;4.1
Daucus carota L.;1.2a
Dentaria enneaphyllos L.;1.2bb
Deschampsia cespitosa (L.) P. Beauv. s. str.;0
Deschampsia littoralis (Gaudin) Reuter;0
Deschampsia wibeliana (Sond.) Parl.;0
Doronicum grandiflorum Lam.;7.2c
Draba aizoides L.;1.2bb
Dryas octopetala L.;1.2ba
Epilobium alpestre (Jacq.) Krock.;1.2ba
Epilobium alsinifolium Vill.;1.2ba
Epilobium angustifolium L.;1.2ba
Epilobium montanum L.;1.2ba
Epipactis atrorubens (Hoffm. ex Bernh.) Besser;5.4
Erica carnea L.;3.1
Erigeron annuus (L.) Pers.;7.2c
Erigeron uniflorus L.;7.2c
Eupatorium cannabinum L.;7.2a
Euphorbia amygdaloides L.;1.2a
Euphorbia cyparissias L.;1.2a
Euphrasia frigida Pugsley;5.1
Euphrasia minima Jacq. ex DC.;5.1
Euphrasia officinalis L. s. l.;5.1
Festuca nigrescens Lam.;0
Festuca pratensis Huds. s. l.;0
Festuca quadriflora Honck.;0
Fragaria moschata (Duchesne) Weston;1.2ba
Fragaria vesca L.;1.2ba
Fragaria viridis (Duchesne) Weston;1.2ba
Fragaria x ananassa (Duchesne) Decne. & Naudin;1.2ba
Galeobdolon argentatum Smejkal;5.1
Galeobdolon flavidum (F. Herm.) Holub;5.1
Galeobdolon luteum Huds.;5.1
Galeobdolon montanum (Pers.) Pers. ex Rchb.;5.1
Galeopsis speciosa Mill.;5.1
Galeopsis tetrahit L.;5.1
Galium album Mill.;1.2a
Galium anisophyllon Vill. s. str.;1.2a
Galium pumilum Murray s. str.;1.2a
Galium sterneri Ehrend.;1.2a
Galium suecicum (Sterner) Ehrend.;1.2a
Galium valdepilosum Heinr. Braun;1.2a
Gentiana asclepiadea L.;2.1
Gentiana bavarica L.;4.1
Gentiana clusii Perrier & Songeon;2.1
Gentiana cruciata L.;2.1
Gentiana nivalis L.;4.1
Gentiana pannonica Scop.;2.1
Gentiana utriculosa L.;4.1
Gentiana verna L.;4.1
Gentianella aspera (Hegetschw.) Dostal ex Skalicky;2.1
Gentianella ciliata (L.) Borkh.;2.1
Geranium purpureum Vill.;1.2bb
Geranium robertianum L. s. str.;1.2bb
Geranium sylvaticum L.;1.2bb
Geum rivale L.;3.2
Geum urbanum L.;1.2ba
Glechoma hederacea L.;5.1
Globularia cordifolia L.;7.1
Globularia nudicaulis L.;7.1
Gymnadenia conopsea (L.) R. Br.;5.4
Gymnadenia odoratissima (L.) Rich.;5.4
Gypsophila repens L.;2.2
Hedysarum hedysaroides (L.) Schinz & Thell.;6.1a
Helianthemum alpestre (Jacq.) DC.;1.1
Helianthemum nummularium (L.) Mill. s. l.;1.1
Helictotrichon pubescens (Huds.) Pilg.;0
Helleborus niger L.;1.2bf
Hepatica nobilis Schreb.;1.1
Heracleum austriacum L.;1.2a
Heracleum sphondylium L.;1.2a
Hieracium adriaticiforme (Zahn) Zahn (piloselloides < peleterianum);7.2b
Hieracium anchusoides (Arv.-Touv.) St.-Lag. (zizianum > pilosella);7.2b
Hieracium angustifolium Hoppe;7.2b
Hieracium apatelium N�geli & Peter (floribundum - pilosella);7.2b
Hieracium aridum Freyn (piloselloides - pilosella);7.2b
Hieracium arnoserioides N�geli & Peter (piloselloides - macranthum);7.2b
Hieracium arvicola N�geli & Peter (piloselloides - caespitosum);7.2b
Hieracium aurantiacum L.;7.2b
Hieracium auriculoides Lang (bauhini - echioides);7.2b
Hieracium basifurcum Peter (sphaerocephalum - pilosella);7.2b
Hieracium bauhini Schult.;7.2b
Hieracium bifidum Kit.;7.2b
Hieracium bifurcum M. Bieb. (echioides <= pilosella);7.2b
Hieracium brachiatum Bertol. ex DC. (piloselloides < pilosella);7.2b
Hieracium brachycomum N�geli & Peter (sphaerocephalum - lactucella);7.2b
Hieracium caespitosum Dumort.;7.2b
Hieracium calodon Tausch ex Peter (echioides - piloselloides);7.2b
Hieracium chaetocephalum H. Hofmann (caespitosum - peleterianum);7.2b
Hieracium chlorops (N�geli & Peter) Zahn (prussicum - lactucella);7.2b
Hieracium cinereiforme Meissner & Zahn (fallax <= pilosella);7.2b
Hieracium cochleatum (N�geli & Peter) Zahn (caespitosum < lactucella);7.2b
Hieracium cymosum L.;7.2b
Hieracium densiflorum Tausch (bauhini - cymosum);7.2b
Hieracium dubium L. (cymosum - floribundum);7.2b
Hieracium echioides Lumn.;7.2b
Hieracium euchaetium N�geli & Peter (bauhini - echioides - pilosella);7.2b
Hieracium fallaciforme Litv. & Zahn (fallax > pilosella);7.2b
Hieracium fallacinum F. W. Schultz (densiflorum >= pilosella);7.2b
Hieracium fallax Willd. (echioides - cymosum);7.2b
Hieracium flagellare Willd. (caespitosum - pilosella);7.2b
Hieracium floribundum Wimm. & Grab. (caespitosum > lactucella);7.2b
Hieracium fuscum Vill. (aurantiacum > lactucella);7.2b
Hieracium glomeratum Froel. (cymosum - caespitosum);7.2b
Hieracium guthnickianum Hegetschw. (cymosum - aurantiacum);7.2b
Hieracium heterodoxum (Tausch) N�geli & Peter (calodon > pilosella);7.2b
Hieracium hoppeanum Schult. s. str.;7.2b
Hieracium hybridum Chaix (cymosum > peleterianum);7.2b
Hieracium hypeuryum Peter (hoppeanum - pilosella);7.2b
Hieracium iseranum (Uechtr.) Zahn (floribundum > pilosella);7.2b
Hieracium kalksburgense Wiesb. (cymosum < pilosella);7.2b
Hieracium koernickeanum (N�geli & Peter) Zahn (bauhini - lactucella);7.2b
Hieracium lactucella Wallr.;7.2b
Hieracium leptoclados Peter (arvicola - pilosella);7.2b
Hieracium leptophyton N�geli & Peter (bauhini > pilosella);7.2b
Hieracium leucense F. O. Wolf (piloselloides < peleterianum);7.2b
Hieracium longisquamum Peter (peleterianum - pilosella);7.2b
Hieracium macranthelum N�geli & Peter (glomeratum - pilosella);7.2b
Hieracium macranthum (Ten.) Ten.;7.2b
Hieracium macrostolonum Gus. Schneid. (caespitosum < pilosella);7.2b
Hieracium montanum N�geli & Peter (arvicola > pilosella);7.2b
Hieracium murorum L.;7.2b
Hieracium nassovicum (Zahn) Gottschlich (calodon < pilosella);7.2b
Hieracium niphostribes Peter (lactucella - angustifolium);7.2b
Hieracium nothum Huter (aurantiacum - sphaerocephalum);7.2b
Hieracium paragogum N�geli & Peter (brachiatum - lactucella);7.2b
Hieracium peleterianum M�rat;7.2b
Hieracium pilosella L.;7.2b
Hieracium piloselliflorum N�geli & Peter (floribundum < pilosella);7.2b
Hieracium pilosellinum F. W. Schultz (fallacinum - pilosella);7.2b
Hieracium piloselloides Vill.;7.2b
Hieracium pilosum Schleich. ex Froel.;7.2b
Hieracium polymastix Peter (bauhini - caespitosum);7.2b
Hieracium prussicum N�geli & Peter (caespitosum > pilosella);7.2b
Hieracium pseudeffusum Peter (bauhini - piloselloides);7.2b
Hieracium rothianum Wallr. (echoides > pilosella);7.2b
Hieracium rubriflorum Zahn (aurantiacum > hoppeanum);7.2b
Hieracium schneidii Schack & Zahn (calodon - densiflorum);7.2b
Hieracium schultesii F. W. Schultz (lactucella - pilosella);7.2b
Hieracium sciadophorum N�geli & Peter (cymosum - lactucella);7.2b
Hieracium sphaerocephalum Froel. (angustifolium - hoppeanum);7.2b
Hieracium spurium Chaix ex Froel. (cymosum > pilosella);7.2b
Hieracium stoloniflorum Waldst. & Kit. (aurantiacum < pilosella);7.2b
Hieracium substoloniflorum Peter (aurantiacum <= hoppeanum);7.2b
Hieracium sulphureum D�ll (piloselloides - lactucella);7.2b
Hieracium villosum Jacq.;7.2b
Hieracium viridifolium Peter (lactucella - hoppeanum);7.2b
Hieracium visianii (F. W. Schultz & Sch. Bip.) Schinz & Thell. (piloselloides > pilosella);7.2b
Hieracium vulgatum Fr. (bifidum <= lachenalii);7.2b
Hieracium walteri-langii Gottschlich (fallax - leptophyton);7.2b
Hieracium zizianum Tausch (piloselloides - cymosum);7.2b
Hippocrepis comosa L.;6.1c
Holcus lanatus L.;0
Homogyne alpina (L.) Cass.;7.2a
Hypericum maculatum Crantz s. l.;1.1
Hypericum perforatum L.;1.1
Hypericum x desetangsii Lamotte s. l. (Hypericum maculatum x H. perforatum);1.1
Impatiens noli-tangere L.;5.2
Juncus trifidus L. s. l.;0
Juniperus communis L. s. str.;0
Juniperus sibirica Burgsd.;0
Knautia arvensis (L.) Coult. s. str.;7.1
Knautia dipsacifolia Kreutzer;7.1
Knautia kitaibelii (Schult.) Borb�s;7.1
Lamium maculatum L.;5.1
Larix decidua Mill.;0
Lathyrus pratensis L.;6.1b
Leontodon hispidus L.;7.2b
Leucanthemum adustum (W. D. J. Koch) Gremli;7.2c
Leucanthemum halleri (Suter) Ducommun;7.2c
Leucanthemum ircutianum DC.;7.2c
Leucanthemum vulgare Lam. s. str.;7.2c
Ligusticum mutellina (L.) Crantz;1.2a
Lilium martagon L.;3.2
Linaria alpina (L.) Mill.;5.3
Linaria vulgaris Mill.;5.3
Linum catharticum L.;1.2bb
Listera ovata (L.) R. Br.;5.4
Lolium multiflorum Lam.;0
Lolium perenne L.;0
Lotus alpinus (DC.) Schleich. ex Ramond;6.1c
Lotus corniculatus L.;6.1c
Lotus tenuis Waldst. & Kit. ex Willd.;6.1c
Luzula alpina Hoppe;0
Luzula congesta (Thuill.) Lej.;0
Luzula divulgata Kirschner;0
Luzula glabrata (Hoppe) Desv.;0
Luzula luzulina (Vill.) Dalla Torre & Sarnth.;0
Luzula multiflora (Ehrh.) Lej. s. str.;0
Luzula pilosa (L.) Willd.;0
Luzula sudetica (Willd.) Schult.;0
Luzula sylvatica (Huds.) Gaudin s. l.;0
Lychnis flos-cuculi L.;4.2
Lysimachia nemorum L.;1.1
Lysimachia nummularia L.;1.1
Maianthemum bifolium (L.) F. W. Schmidt;1.2a
Malaxis monophyllos (L.) Sw.;5.4
Medicago lupulina L.;6.1b
Melampyrum sylvaticum L.;5.3
Melica nutans L.;0
Melica picta K. Koch;0
Melica uniflora Retz.;0
Mentha arvensis L.;2.2
Mentha longifolia (L.) L.;2.2
Mercurialis ovata Sternb. & Hoppe;0
Mercurialis perennis L.;0
Minuartia sedoides (L.) Hiern;1.2bb
Minuartia verna (L.) Hiern s. l.;1.2bb
Moehringia ciliata (Scop.) Dalla Torre;1.2bb
Moehringia muscosa L.;1.2bb
Molinia arundinacea Schrank;0
Molinia caerulea (L.) Moench s. str.;0
Myosotis alpestris F. W. Schmidt;4.1
Myosotis decumbens Host;4.1
Myosotis nemorosa Besser;4.1
Myosotis sylvatica Ehrh. ex Hoffm.;4.1
Nigritella rhellicani Teppner & Klein;7.1
Ophrys holoserica (Burm. f.) Greuter;5.4
Ophrys insectifera L.;5.4
Orchis ustulata L.;5.4
Origanum vulgare L.;5.1
Oxalis acetosella L.;1.2bc
Paris quadrifolia L.;1.1
Parnassia palustris L.;1.2a
Pedicularis rostratocapitata Crantz;5.1
Pedicularis rostratospicata Crantz;5.1
Petasites albus (L.) Gaertn.;7.2a
Peucedanum ostruthium (L.) Koch;1.2a
Phleum alpinum L. s. str.;0
Phleum bertolonii DC.;0
Phleum pratense L. s. str.;0
Phleum rhaeticum (Humphries) Rauschert;0
Pimpinella major (L.) Huds.;1.2a
Pinguicula alpina L.;5.2
Plantago intermedia DC.;0
Plantago lanceolata L.;0
Plantago major L. s. str.;0
Plantago media L.;0
Plantago winteri Wirtg.;0
Platanthera bifolia (L.) Rich.;5.4
Poa alpina L.;0
Poa angustifolia L.;0
Poa annua L.;0
Poa badensis Haenke ex Willd.;0
Poa humilis Ehrh. ex Hoffm.;0
Poa pratensis L. s. str.;0
Poa supina Schrad.;0
Poa trivialis L. s. l.;0
Polygala alpestris Rchb.;6.2
Polygala amara L.;6.2
Polygala amarella Crantz;6.2
Polygala chamaebuxus L.;6.2
Polygonatum odoratum (Mill.) Druce;3.2
Polygonatum verticillatum (L.) All.;3.2
Potentilla aurea L.;1.2ba
Potentilla brauneana Hoppe ex Nestl.;1.2ba
Potentilla erecta (L.) Raeusch.;1.2ba
Potentilla reptans L.;1.2ba
Prenanthes purpurea L.;7.2b
Primula auricula L.;4.1
Primula elatior (L.) Hill;4.1
Primula farinosa L.;4.1
Primula minima L.;4.1
Primula veris L.;4.1
Primula vulgaris Huds.;4.1
Pritzelago alpina (L.) Kuntze;1.2bb
Prunella grandiflora (L.) Scholler;5.1
Prunella laciniata (L.) L.;5.1
Prunella vulgaris L.;5.1
Pseudorchis albida (L.) �. L�ve & D. L�ve;5.4
Pulmonaria obscura Dumort.;4.1
Pulmonaria officinalis L.;4.1
Pulsatilla alpina (L.) Delarbre s. str.;3.2
Pulsatilla micrantha (DC.) Sweet;3.2
Pyrola rotundifolia L.;3.1
Ranunculus aconitifolius L.;1.2bc
Ranunculus acris L.;1.2bc
Ranunculus alpestris L.;1.2bc
Ranunculus breyninus Crantz;1.2bc
Ranunculus carinthiacus Hoppe;1.2bc
Ranunculus ficaria L.;1.2bc
Ranunculus montanus Willd.;1.2bc
Ranunculus nemorosus DC.;1.2bc
Ranunculus platanifolius L.;1.2bc
Ranunculus polyanthemoides Boreau;1.2bc
Ranunculus polyanthemophyllus W. Koch & Hess;1.2bc
Ranunculus polyanthemos L. s. str.;1.2bc
Ranunculus repens L.;1.2bc
Ranunculus serpens Schrank;1.2bc
Ranunculus villarsii DC.;1.2bc
Rhinanthus alectorolophus (Scop.) Pollich s. l.;5.1
Rhinanthus glacialis Personnat;5.1
Rhinanthus minor L.;5.1
Rhinanthus rumelicus Velen.;5.1
Rhododendron hirsutum L.;3.1
Rhodothamnus chamaecistus (L.) Rchb.;5.6
Rosa canina L. s. l.;1.1
Rosa corymbifera Borkh. s. l.;1.1
Rosa dumalis Bechst.;1.1
Rubus idaeus L.;1.2ba
Rumex acetosa L.;0
Rumex arifolius All.;0
Rumex obtusifolius L.;0
Sagina procumbens L.;1.2bb
Sagina saginoides (L.) H. Karst.;1.2bb
Salix retusa L.;9
Salix serpillifolia Scop.;9
Salvia glutinosa L.;5.1
Salvia verticillata L.;5.1
Sanguisorba officinalis L.;1.2ba
Sanicula europaea L.;1.2a
Saxifraga aizoides L.;1.2a
Saxifraga androsacea L.;1.2a
Saxifraga caesia L.;1.2a
Saxifraga paniculata Mill.;1.2a
Saxifraga rotundifolia L.;1.2a
Saxifraga stellaris L.;1.2a
Scabiosa lucida Vill.;7.1
Scrophularia nodosa L.;5.2
Sedum album L.;1.2bd
Sedum atratum L.;1.2bd
Senecio abrotanifolius L.;7.2c
Senecio germanicus Wallr.;7.2c
Senecio ovatus (Gaertn.;7.2c
Sesleria albicans Kit. ex Schult.;0
Silene acaulis (L.) Jacq. s. str.;4.2
Silene dioica (L.) Clairv.;4.2
Silene nutans L.;4.2
Silene vulgaris (Moench) Garcke s. l.;4.2
Solanum dulcamara L.;1.1
Soldanella alpina L.;3.1
Solidago virgaurea L.;7.2c
Stachys sylvatica L.;5.1
Stellaria graminea L.;1.2bb
Stellaria nemorum L. s. l.;1.2bb
Taraxacum sect. Alpina Hegetschw.;7.2b
Taraxacum sect. Palustria  (Lyons) Symons;7.2b
Taraxacum sect. Ruderalia  Wiggers;7.2b
Teucrium chamaedrys L.;5.1
Thalictrum aquilegiifolium L.;9
Thesium alpinum L.;1.2ba
Thymus praecox Opiz s. l.;5.1
Thymus pulegioides L. s. l.;5.1
Tofieldia calyculata (L.) Wahlenb.;1.2a
Tofieldia pusilla (Michx.) Pers.;1.2a
Tragopogon minor Mill.;7.2b
Tragopogon orientalis L.;7.2b
Tragopogon pratensis L. s. str.;7.2b
Traunsteinera globosa (L.) Rchb.;7.1
Trifolium badium Schreb.;6.1a
Trifolium medium L.;6.1a
Trifolium montanum L.;6.1a
Trifolium pratense L.;6.1a
Trifolium repens L.;6.1a
Trisetum flavescens (L.) P. Beauv.;0
Trollius europaeus L.;1.2bf
Tussilago farfara L.;7.2c
Urtica dioica L. s. l.;0
Vaccinium myrtillus L.;3.1
Vaccinium vitis-idaea L.;3.1
Valeriana dioica L.;2.2
Valeriana montana L.;2.2
Valeriana officinalis L. s. str.;2.2
Valeriana pratensis Dierb.;2.2
Valeriana procurrens Wallr.;2.2
Valeriana sambucifolia J. C. Mikan ex Pohl;2.2
Valeriana saxatilis L.;2.2
Valeriana tripteris L.;2.2
Valeriana versifolia Br�gger;2.2
Valeriana wallrothii Kreyer;2.2
Veratrum album L.;1.2a
Verbascum thapsus L.;5.6
Veronica alpina L.;5.6
Veronica aphylla L.;5.6
Veronica beccabunga L.;5.6
Veronica chamaedrys L. s. l.;5.6
Veronica filiformis Sm.;5.6
Veronica fruticans Jacq.;5.6
Veronica officinalis L.;5.6
Veronica serpyllifolia L.;5.6
Vicia cracca L. s. str.;6.1b
Vicia dalmatica Kern.;6.1b
Vicia sepium L.;6.1b
Vicia tenuifolia Roth s. str.;6.1b
Vincetoxicum hirundinaria Medik.;10.2
Viola biflora L.;5.5
Viola collina Besser;5.5
Viola hirta L.;5.5
Viola reichenbachiana Jord. ex Boreau;5.5
Willemetia stipitata (Jacq.) Dalla Torre;7.2b
