BiolFlor-Name;Floral rewards;;;
;Floral rewards;Amount of floral reward;Reference
Achillea millefolium L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Acinos alpinus (L.) Moench;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum degenii (Arcang.) Mucher;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum napellus L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum variegatum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Adenostyles alliariae (Gouan) A. Kern.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aegopodium podagraria L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Ajuga reptans L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Alchemilla alpigena Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla cleistophylla Rothm. & O. Schwarz;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla connivens Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla coriacea Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla crinita Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla cymatophylla Juz.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla decumbens Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla effusa Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla filicaulis Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla fissa Günther & Schummel;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla glabra Neygenf.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla glaucescens Wallr.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla glomerulans Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla hoppeana (Rchb.) Dalla Torre;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla impexa Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla lineata Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla lunaria S. E. Fröhner;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla micans Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla monticola Opiz;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla obtusa Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla pallens Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla propinqua H. Lindb. ex Juz.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla reniformis Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla rubristipula Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla straminea Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla strigosula Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla subcrenata Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla subglobosa C. G. Westerl.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla tenuis Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla undulata Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla versipila Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla vulgaris L.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla xanthochlora Rothm.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Allium carinatum L. s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Androsace chamaejasme Wulfen;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anemone narcissiflora L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anemone nemorosa L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Antennaria dioica (L.) Gaertn.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anthericum ramosum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anthriscus nitida (Wahlenb.) Hazsl.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anthriscus sylvestris (L.) Hoffm.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Anthyllis vulneraria L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aquilegia atrata W. D. J. Koch;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis alpina L. s. str.;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis bellidifolia Crantz s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis caerulea All.;nectar;little;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis caucasica Willd.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis hirsuta (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arabis sagittata (Bertol.) DC.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Arenaria ciliata L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aster bellidiastrum (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Bartsia alpina L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Bellis perennis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Berberis vulgaris L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Betonica alopecuros L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Betonica officinalis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Biscutella laevigata L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Calluna vulgaris (L.) Hull;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Caltha palustris L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cardamine pratensis L. (s. l.);nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carduus defloratus L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex alba Scop.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex atrata L. s. l.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex caryophyllea Latourr.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex digitata L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex ericetorum Pollich;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex ferruginea Scop.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex firma (Mygind) Host;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex flacca Schreb.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex nigra (L.) Reichard;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex ovalis Good.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex pallescens L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex panicea L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex parviflora Host;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex sempervirens Vill.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carex vaginata Tausch;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carlina acaulis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carlina vulgaris L. s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Carum carvi L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Centaurea jacea L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Centaurea microptilon (Godr.) Gren. & Godr.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Centaurea scabiosa L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cephalanthera longifolia (L.) Fritsch;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Ziegenspeck, H. 1936: Orchidaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 4.;
;deceit;present;Daumann, E. 1968: Tier-, Wind- und Wasserblütigkeit in der tschechoslowakischen Flora. I. Monocotyledonen.. Österreichische Botanische Zeitschrift 115:427-433;
Cerastium holosteoides Fr.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cerastium latifolium L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Chaerophyllum hirsutum L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Chrysosplenium alternifolium L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;present;Kaplan, K. 1995: Saxifragaceae. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2a), S. 130-229, Blackwell, Berlin;
Cirsium arvense (L.) Scop.;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cirsium oleraceum (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cirsium palustre (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cirsium spinosissimum (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cirsium vulgare (Savi) Ten.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Clinopodium vulgare L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Coeloglossum viride (L.) Hartm.;nectar;present;Proctor, M.C.F., Yeo, P., Lack, A. 1996: The natural history of pollination. HarperCollins Publishers, London;
Convallaria majalis L.;nectar;none;Ascherson, P., Bernátsky, J., Bernner, W., Buxbaum, F., Graebner, P., Höck, F., Kirchner, O., Loew, E., Ludwig, F. 1934: Araceae, Lemnaceae, Juncaceae, Liliaceae, Dioscoreaceae, Amaryllidaceae, Iridaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 3.;
;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crepis biennis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crepis paludosa (L.) Moench;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crocus albiflorus Kit.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crocus vernus (L.) Hill s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cuscuta trifolii Bab. & Gibson;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza cruenta (O. F. Müller) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza curvifolia (Nyl.) Czerep.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza fuchsii (Druce) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza incarnata (L.) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Ziegenspeck, H. 1936: Orchidaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 4.;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza lapponica (Hartm.) Soó;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
