plant.sp,plant.genus,plant.family,k.type,k.type.s,k.type.ss
Achillea atrata,Achillea,Asteraceae,7.2c,7.2,7
Achillea clavennae,Achillea,Asteraceae,7.2c,7.2,7
Achillea millefolium,Achillea,Asteraceae,7.2c,7.2,7
Acinos alpinus,Acinos,Lamiaceae,5.1,5.1,5
Aconitum napellus,Aconitum,Ranunculaceae,5.2,5.2,5
Aconitum variegatum,Aconitum,Ranunculaceae,5.2,5.2,5
Aconitum vulparia,Aconitum,Ranunculaceae,NA,5.2,5
Adenostyles alliariae,Adenostyles,Asteraceae,7.2a,7.2,7
Adenostyles glabra,Adenostyles,Asteraceae,7.2a,7.2,7
Aegopodium podagraria,Aegopodium,Apiaceae,1.2a,1.2,1
Agrostis alpina,Agrostis,Poaceae,0,0,0
Agrostis capillaris,Agrostis,Poaceae,0,0,0
Agrostis schleicheri,Agrostis,Poaceae,0,0,0
Ajuga reptans,Ajuga,Lamiaceae,5.1,5.1,5
Alchemilla conjuncta,Alchemilla,Rosaceae,NA,1.2,1
Alchemilla vulgaris,Alchemilla,Rosaceae,1.2a,1.2,1
Allium carinatum,Allium,Amaryllidaceae,1.2bd,1.2,1
Androsace chamaejasme,Androsace,Primulaceae,4.1,4.1,4
Anemone narcissiflora,Anemone,Ranunculaceae,1.1,1.1,1
Anemone nemorosa,Anemone,Ranunculaceae,1.1,1.1,1
Antennaria dioica,Antennaria,Asteraceae,7.2a,7.2,7
Anthericum ramosum,Anthericum,Asparagaceae,1.2a,1.2,1
Anthoxanthum alpinum,Anthoxanthum,Poaceae,0,0,0
Anthoxanthum odoratum,Anthoxanthum,Poaceae,0,0,0
Anthriscus sylvestris,Anthriscus,Apiaceae,1.2a,1.2,1
Anthyllis vulneraria,Anthyllis,Fabaceae,6.1c,6.1,6
Aposeris foetida,Aposeris,Asteraceae,7.2b,7.2,7
Aquilegia atrata,Aquilegia,Ranunculaceae,3.2,3.2,3
Arabis alpina,Arabis,Brassicaceae,1.2bb,1.2,1
Arabis caerulea,Arabis,Brassicaceae,1.2bb,1.2,1
Arabis ciliata,Arabis,Brassicaceae,1.2bb,1.2,1
Arabis hirsuta,Arabis,Brassicaceae,1.2bb,1.2,1
Arabis pumila,Arabis,Brassicaceae,NA,1.2,1
Arabis sagittata,Arabis,Brassicaceae,1.2bb,1.2,1
Arctous alpina,Arctous,Ericaceae,NA,3.1,3
Arenaria ciliata,Arenaria,Caryophyllaceae,1.2bb,1.2,1
Arrhenatherum elatius,Arrhenatherum,Poaceae,0,0,0
Aster bellidiastrum,Aster,Asteraceae,7.2c,7.2,7
Bartsia alpina,Bartsia,Orobanchaceae,5.3,5.3,5
Bellis perennis,Bellis,Asteraceae,7.2c,7.2,7
Berberis vulgaris,Berberis,Berberidaceae,1.2bc,1.2,1
Biscutella laevigata,Biscutella,Brassicaceae,1.2bb,1.2,1
Brachypodium pinnatum,Brachypodium,Poaceae,0,0,0
Brachypodium sylvaticum,Brachypodium,Poaceae,0,0,0
Briza media,Briza,Poaceae,0,0,0
Buphthalmum salicifolium,Buphthalmum,Asteraceae,7.2c,7.2,7
Calamagrostis varia,Calamagrostis,Poaceae,0,0,0
Calamintha clinopodium,Calamintha,Lamiaceae,NA,5.1,5
Calluna vulgaris,Calluna,Ericaceae,3.1,3.1,3
Campanula alpina,Campanula,Campanulaceae,3.2,3.2,3
Campanula cochleariifolia,Campanula,Campanulaceae,3.2,3.2,3
Campanula glomerata,Campanula,Campanulaceae,3.2,3.2,3
Campanula patula,Campanula,Campanulaceae,3.2,3.2,3
Campanula scheuchzeri,Campanula,Campanulaceae,3.2,3.2,3
Campanula trachelium,Campanula,Campanulaceae,3.2,3.2,3
Cardamine enneaphyllos,Cardamine,Brassicaceae,NA,1.2,1
Cardamine pratensis,Cardamine,Brassicaceae,1.2bb,1.2,1
Carduus defloratus,Carduus,Asteraceae,7.2a,7.2,7
Carex alba,Carex,Cyperaceae,0,0,0
Carex atrata,Carex,Cyperaceae,0,0,0
Carex caryophyllea,Carex,Cyperaceae,0,0,0
Carex digitata,Carex,Cyperaceae,0,0,0
Carex ericetorum,Carex,Cyperaceae,0,0,0
Carex ferruginea,Carex,Cyperaceae,0,0,0
Carex firma,Carex,Cyperaceae,0,0,0
Carex flacca,Carex,Cyperaceae,0,0,0
Carex leporina,Carex,Cyperaceae,NA,0,0
Carex nigra,Carex,Cyperaceae,0,0,0
Carex pallescens,Carex,Cyperaceae,0,0,0
Carex panicea,Carex,Cyperaceae,0,0,0
Carex sempervirens,Carex,Cyperaceae,0,0,0
Carlina acaulis,Carlina,Asteraceae,7.2a,7.2,7
Carlina vulgaris,Carlina,Asteraceae,7.2a,7.2,7
Carum carvi,Carum,Apiaceae,1.2a,1.2,1
Centaurea jacea,Centaurea,Asteraceae,7.2a,7.2,7
Centaurea scabiosa,Centaurea,Asteraceae,7.2a,7.2,7
Cephalanthera longifolia,Cephalanthera,Orchidaceae,5.4,5.4,5
Cerastium fontanum,Cerastium,Caryophyllaceae,1.2bb,1.2,1
Cerastium latifolium,Cerastium,Caryophyllaceae,1.2bb,1.2,1
Chaerophyllum hirsutum,Chaerophyllum,Apiaceae,1.2a,1.2,1
Chrysosplenium alternifolium,Chrysosplenium,Saxifragaceae,1.2a,1.2,1
Cirsium arvense,Cirsium,Asteraceae,7.2a,7.2,7
Cirsium oleraceum,Cirsium,Asteraceae,7.2a,7.2,7
Cirsium palustre,Cirsium,Asteraceae,7.2a,7.2,7
Cirsium spinosissimum,Cirsium,Asteraceae,7.2a,7.2,7
Cirsium vulgare,Cirsium,Asteraceae,7.2a,7.2,7
Clinopodium vulgare,Clinopodium,Lamiaceae,5.1,5.1,5
Coeloglossum viride,Coeloglossum,Orchidaceae,5.4,5.4,5
Convallaria majalis,Convallaria,Asparagaceae,3.1,3.1,3
Crepis alpestris,Crepis,Asteraceae,7.2b,7.2,7
Crepis aurea,Crepis,Asteraceae,7.2b,7.2,7
Crepis biennis,Crepis,Asteraceae,7.2b,7.2,7
Crepis paludosa,Crepis,Asteraceae,7.2b,7.2,7
Crepis terglouensis,Crepis,Asteraceae,7.2b,7.2,7
Crocus albiflorus,Crocus,Iridaceae,2.1,2.1,2
Cruciata laevipes,Cruciata,Rubiaceae,1.2a,1.2,1
Cuscuta epithymum,Cuscuta,Convolvulaceae,3.2,3.2,3
Cynosurus cristatus,Cynosurus,Poaceae,0,0,0
Dactylis glomerata,Dactylis,Poaceae,0,0,0
Dactylorhiza incarnata,Dactylorhiza,Orchidaceae,5.4,5.4,5
Dactylorhiza maculata,Dactylorhiza,Orchidaceae,5.4,5.4,5
Dactylorhiza majalis,Dactylorhiza,Orchidaceae,5.4,5.4,5
Daphne mezereum,Daphne,Thymelaeaceae,4.1,4.1,4
Daucus carota,Daucus,Apiaceae,1.2a,1.2,1
Dentaria enneaphyllos,Dentaria,Brassicaceae,1.2bb,1.2,1
Deschampsia cespitosa,Deschampsia,Poaceae,0,0,0
Doronicum grandiflorum,Doronicum,Asteraceae,7.2c,7.2,7
Draba aizoides,Draba,Brassicaceae,1.2bb,1.2,1
Dryas octopetala,Dryas,Rosaceae,1.2ba,1.2,1
Epilobium alpestre,Epilobium,Onagraceae,1.2ba,1.2,1
Epilobium alsinifolium,Epilobium,Onagraceae,1.2ba,1.2,1
Epilobium angustifolium,Epilobium,Onagraceae,1.2ba,1.2,1
Epilobium montanum,Epilobium,Onagraceae,1.2ba,1.2,1
Epipactis atrorubens,Epipactis,Orchidaceae,5.4,5.4,5
Erica carnea,Erica,Ericaceae,3.1,3.1,3
Erigeron annuus,Erigeron,Asteraceae,7.2c,7.2,7
Erigeron uniflorus,Erigeron,Asteraceae,7.2c,7.2,7
Eupatorium cannabinum,Eupatorium,Asteraceae,7.2a,7.2,7
Euphorbia amygdaloides,Euphorbia,Euphorbiaceae,1.2a,1.2,1
Euphorbia cyparissias,Euphorbia,Euphorbiaceae,1.2a,1.2,1
Euphrasia minima,Euphrasia,Orobanchaceae,5.1,5.1,5
Euphrasia picta,Euphrasia,Orobanchaceae,NA,5.1,5
Euphrasia rostkoviana,Euphrasia,Orobanchaceae,NA,5.1,5
Festuca nigrescens,Festuca,Poaceae,0,0,0
Festuca pratensis,Festuca,Poaceae,0,0,0
Festuca quadriflora,Festuca,Poaceae,0,0,0
Ficaria verna,Ficaria,Ranunculaceae,NA,1.2,1
Fragaria vesca,Fragaria,Rosaceae,1.2ba,1.2,1
Galeopsis speciosa,Galeopsis,Lamiaceae,5.1,5.1,5
Galeopsis tetrahit,Galeopsis,Lamiaceae,5.1,5.1,5
Galium album,Galium,Rubiaceae,1.2a,1.2,1
Galium anisophyllon,Galium,Rubiaceae,1.2a,1.2,1
Galium pumilum,Galium,Rubiaceae,1.2a,1.2,1
Gentiana asclepiadea,Gentiana,Gentianaceae,2.1,2.1,2
Gentianella aspera,Gentianella,Gentianaceae,2.1,2.1,2
Gentianella aspera,Gentianella,Gentianaceae,2.1,2.1,2
Gentiana bavarica,Gentiana,Gentianaceae,4.1,4.1,4
Gentianella ciliata,Gentianella,Gentianaceae,2.1,2.1,2
Gentianella ciliata,Gentianella,Gentianaceae,2.1,2.1,2
Gentiana clusii,Gentiana,Gentianaceae,2.1,2.1,2
Gentiana cruciata,Gentiana,Gentianaceae,2.1,2.1,2
Gentiana nivalis,Gentiana,Gentianaceae,4.1,4.1,4
Gentiana pannonica,Gentiana,Gentianaceae,2.1,2.1,2
Gentiana utriculosa,Gentiana,Gentianaceae,4.1,4.1,4
Gentiana verna,Gentiana,Gentianaceae,4.1,4.1,4
Geranium robertianum,Geranium,Geraniaceae,1.2bb,1.2,1
Geranium sylvaticum,Geranium,Geraniaceae,1.2bb,1.2,1
Geum rivale,Geum,Rosaceae,3.2,3.2,3
Geum urbanum,Geum,Rosaceae,1.2ba,1.2,1
Glechoma hederacea,Glechoma,Lamiaceae,5.1,5.1,5
Globularia cordifolia,Globularia,Plantaginaceae,7.1,7.1,7
Globularia nudicaulis,Globularia,Plantaginaceae,7.1,7.1,7
Platanthera bifolia,Platanthera,Orchidaceae,5.4,5.4,5
Gymnadenia conopsea,Gymnadenia,Orchidaceae,5.4,5.4,5
Gymnadenia odoratissima,Gymnadenia,Orchidaceae,5.4,5.4,5
Gypsophila repens,Gypsophila,Caryophyllaceae,2.2,2.2,2
Hedysarum hedysaroides,Hedysarum,Fabaceae,6.1a,6.1,6
Helianthemum alpestre,Helianthemum,Cistaceae,1.1,1.1,1
Helianthemum nummularium,Helianthemum,Cistaceae,1.1,1.1,1
Helictotrichon pubescens,Helictotrichon,Poaceae,0,0,0
Helleborus niger,Helleborus,Ranunculaceae,1.2bf,1.2,1
Hepatica nobilis,Hepatica,Ranunculaceae,1.1,1.1,1
Heracleum austriacum,Heracleum,Apiaceae,1.2a,1.2,1
Heracleum sphondylium,Heracleum,Apiaceae,1.2a,1.2,1
Hieracium bifidum,Hieracium,Asteraceae,7.2b,7.2,7
Hieracium murorum,Hieracium,Asteraceae,7.2b,7.2,7
Hieracium pilosella,Hieracium,Asteraceae,7.2b,7.2,7
Hieracium pilosum,Hieracium,Asteraceae,7.2b,7.2,7
Hieracium villosum,Hieracium,Asteraceae,7.2b,7.2,7
Hippocrepis comosa,Hippocrepis,Fabaceae,6.1c,6.1,6
Holcus lanatus,Holcus,Poaceae,0,0,0
Homogyne alpina,Homogyne,Asteraceae,7.2a,7.2,7
Hypericum maculatum,Hypericum,Hypericaceae,1.1,1.1,1
Hypericum perforatum,Hypericum,Hypericaceae,1.1,1.1,1
Impatiens noli-tangere,Impatiens,Balsaminaceae,5.2,5.2,5
Juncus trifidus,Juncus,Juncaceae,0,0,0
Juniperus communis,Juniperus,Cupressaceae,0,0,0
Knautia arvensis,Knautia,Caprifoliaceae,7.1,7.1,7
Knautia dipsacifolia,Knautia,Caprifoliaceae,7.1,7.1,7
Lamium galeobdolon,Lamium,Lamiaceae,NA,5.1,5
Lamium maculatum,Lamium,Lamiaceae,5.1,5.1,5
Lathyrus pratensis,Lathyrus,Fabaceae,6.1b,6.1,6
Leontodon hispidus,Leontodon,Asteraceae,7.2b,7.2,7
Leucanthemum halleri,Leucanthemum,Asteraceae,7.2c,7.2,7
Leucanthemum vulgare,Leucanthemum,Asteraceae,7.2c,7.2,7
Ligusticum mutellina,Ligusticum,Apiaceae,1.2a,1.2,1
Lilium martagon,Lilium,Liliaceae,3.2,3.2,3
Linaria alpina,Linaria,Plantaginaceae,5.3,5.3,5
Linaria vulgaris,Linaria,Plantaginaceae,5.3,5.3,5
Linum catharticum,Linum,Linaceae,1.2bb,1.2,1
Listera ovata,Listera,Orchidaceae,5.4,5.4,5
Lolium perenne,Lolium,Poaceae,0,0,0
Lotus corniculatus,Lotus,Fabaceae,6.1c,6.1,6
Luzula glabrata,Luzula,Juncaceae,0,0,0
Luzula luzulina,Luzula,Juncaceae,0,0,0
Luzula multiflora,Luzula,Juncaceae,0,0,0
Luzula pilosa,Luzula,Juncaceae,0,0,0
Luzula sylvatica,Luzula,Juncaceae,0,0,0
Lysimachia nemorum,Lysimachia,Primulaceae,1.1,1.1,1
Lysimachia nummularia,Lysimachia,Primulaceae,1.1,1.1,1
Maianthemum bifolium,Maianthemum,Asparagaceae,1.2a,1.2,1
Malaxis monophyllos,Malaxis,Orchidaceae,5.4,5.4,5
Medicago lupulina,Medicago,Fabaceae,6.1b,6.1,6
Melampyrum sylvaticum,Melampyrum,Orobanchaceae,5.3,5.3,5
Melica nutans,Melica,Poaceae,0,0,0
Mentha longifolia,Mentha,Lamiaceae,2.2,2.2,2
Mercurialis perennis,Mercurialis,Euphorbiaceae,0,0,0
Minuartia gerardii,Minuartia,Caryophyllaceae,NA,1.2,1
Minuartia sedoides,Minuartia,Caryophyllaceae,1.2bb,1.2,1
Minuartia verna,Minuartia,Caryophyllaceae,1.2bb,1.2,1
Moehringia ciliata,Moehringia,Caryophyllaceae,1.2bb,1.2,1
Moehringia muscosa,Moehringia,Caryophyllaceae,1.2bb,1.2,1
Molinia caerulea,Molinia,Poaceae,0,0,0
Myosotis alpestris,Myosotis,Boraginaceae,4.1,4.1,4
Myosotis nemorosa,Myosotis,Boraginaceae,4.1,4.1,4
Myosotis sylvatica,Myosotis,Boraginaceae,4.1,4.1,4
Nigritella rhellicani,Nigritella,Orchidaceae,7.1,7.1,7
Ophrys insectifera,Ophrys,Orchidaceae,5.4,5.4,5
Orchis ustulata,Orchis,Orchidaceae,5.4,5.4,5
Origanum vulgare,Origanum,Lamiaceae,5.1,5.1,5
Oxalis acetosella,Oxalis,Oxalidaceae,1.2bc,1.2,1
Papaver aurantiacum,Papaver,Papaveraceae,NA,1.1,1
Paris quadrifolia,Paris,Melanthiaceae,1.1,1.1,1
Parnassia palustris,Parnassia,Celastraceae,1.2a,1.2,1
Pedicularis rostratocapitata,Pedicularis,Orobanchaceae,5.1,5.1,5
Pedicularis rostratospicata,Pedicularis,Orobanchaceae,5.1,5.1,5
Petasites albus,Petasites,Asteraceae,7.2a,7.2,7
Peucedanum ostruthium,Peucedanum,Apiaceae,1.2a,1.2,1
Phleum pratense,Phleum,Poaceae,0,0,0
Phleum rhaeticum,Phleum,Poaceae,0,0,0
Phyteuma orbiculare,Phyteuma,Campanulaceae,NA,7.1,7
Phyteuma spicatum,Phyteuma,Campanulaceae,NA,7.1,7
Pimpinella major,Pimpinella,Apiaceae,1.2a,1.2,1
Pinguicula alpina,Pinguicula,Lentibulariaceae,5.2,5.2,5
Plantago lanceolata,Plantago,Plantaginaceae,0,0,0
Plantago major,Plantago,Plantaginaceae,0,0,0
Plantago media,Plantago,Plantaginaceae,0,0,0
Poa alpina,Poa,Poaceae,0,0,0
Poa annua,Poa,Poaceae,0,0,0
Poa pratensis,Poa,Poaceae,0,0,0
Poa trivialis,Poa,Poaceae,0,0,0
Polygala alpestris,Polygala,Polygalaceae,6.2,6.2,6
Polygala amara,Polygala,Polygalaceae,6.2,6.2,6
Polygala amarella,Polygala,Polygalaceae,6.2,6.2,6
Polygala chamaebuxus,Polygala,Polygalaceae,6.2,6.2,6
Polygonatum odoratum,Polygonatum,Asparagaceae,3.2,3.2,3
Polygonatum verticillatum,Polygonatum,Asparagaceae,3.2,3.2,3
Polygonum viviparum,Polygonum,Polygonaceae,NA,3.2,3
Potentilla aurea,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla brauneana,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla erecta,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla reptans,Potentilla,Rosaceae,1.2ba,1.2,1
Prenanthes purpurea,Prenanthes,Asteraceae,7.2b,7.2,7
Primula auricula,Primula,Primulaceae,4.1,4.1,4
Primula elatior,Primula,Primulaceae,4.1,4.1,4
Primula farinosa,Primula,Primulaceae,4.1,4.1,4
Primula minima,Primula,Primulaceae,4.1,4.1,4
Primula veris,Primula,Primulaceae,4.1,4.1,4
Pritzelago alpina,Pritzelago,Brassicaceae,1.2bb,1.2,1
Prunella vulgaris,Prunella,Lamiaceae,5.1,5.1,5
Pseudorchis albida,Pseudorchis,Orchidaceae,5.4,5.4,5
Pulsatilla alpina,Pulsatilla,Ranunculaceae,3.2,3.2,3
Pyrola rotundifolia,Pyrola,Ericaceae,3.1,3.1,3
Ranunculus aconitifolius,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus acris,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus alpestris,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus ficaria,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus montanus,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus nemorosus,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus repens,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Rhinanthus alectorolophus,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhinanthus glacialis,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhinanthus minor,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhododendron hirsutum,Rhododendron,Ericaceae,3.1,3.1,3
Rhodothamnus chamaecistus,Rhodothamnus,Ericaceae,5.6,5.6,5
Rumex acetosa,Rumex,Polygonaceae,0,0,0
Rumex alpestris,Rumex,Polygonaceae,NA,0,0
Rumex obtusifolius,Rumex,Polygonaceae,0,0,0
Sagina procumbens,Sagina,Caryophyllaceae,1.2bb,1.2,1
Sagina saginoides,Sagina,Caryophyllaceae,1.2bb,1.2,1
Salix retusa,Salix,Salicaceae,9,9,9
Salvia glutinosa,Salvia,Lamiaceae,5.1,5.1,5
Salvia verticillata,Salvia,Lamiaceae,5.1,5.1,5
Sanguisorba officinalis,Sanguisorba,Rosaceae,1.2ba,1.2,1
Sanicula europaea,Sanicula,Apiaceae,1.2a,1.2,1
Saxifraga aizoides,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga androsacea,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga caesia,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga paniculata,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga rotundifolia,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga stellaris,Saxifraga,Saxifragaceae,1.2a,1.2,1
