plant.sp,plant.genus,k.type,k.type.s,k.type.ss
Achillea atrata,Achillea,7.2c,7.2,7
Achillea clavennae,Achillea,7.2c,7.2,7
Achillea collina,Achillea,7.2c,7.2,7
Achillea millefolium,Achillea,7.2c,7.2,7
Achillea pannonica,Achillea,7.2c,7.2,7
Achillea pratensis,Achillea,7.2c,7.2,7
Achillea roseoalba,Achillea,7.2c,7.2,7
Achillea setacea,Achillea,7.2c,7.2,7
Acinos alpinus,Acinos,5.1,5.1,5
Aconitum degenii,Aconitum,5.2,5.2,5
Aconitum lycoctonum,Aconitum,5.2,5.2,5
Aconitum napellus,Aconitum,5.2,5.2,5
Aconitum plicatum,Aconitum,5.2,5.2,5
Aconitum tauricum,Aconitum,5.2,5.2,5
Aconitum variegatum,Aconitum,5.2,5.2,5
Adenostyles alliariae,Adenostyles,7.2a,7.2,7
Adenostyles glabra,Adenostyles,7.2a,7.2,7
Aegopodium podagraria,Aegopodium,1.2a,1.2,1
Agrostis alpina,Agrostis,0,0,0
Agrostis capillaris,Agrostis,0,0,0
Agrostis schleicheri,Agrostis,0,0,0
Ajuga reptans,Ajuga,5.1,5.1,5
Alchemilla alpigena,Alchemilla,1.2a,1.2,1
Alchemilla cleistophylla,Alchemilla,1.2a,1.2,1
Alchemilla connivens,Alchemilla,1.2a,1.2,1
Alchemilla coriacea,Alchemilla,1.2a,1.2,1
Alchemilla crinita,Alchemilla,1.2a,1.2,1
Alchemilla cymatophylla,Alchemilla,1.2a,1.2,1
Alchemilla decumbens,Alchemilla,1.2a,1.2,1
Alchemilla effusa,Alchemilla,1.2a,1.2,1
Alchemilla filicaulis,Alchemilla,1.2a,1.2,1
Alchemilla fissa,Alchemilla,1.2a,1.2,1
Alchemilla glabra,Alchemilla,1.2a,1.2,1
Alchemilla glaucescens,Alchemilla,1.2a,1.2,1
Alchemilla glomerulans,Alchemilla,1.2a,1.2,1
Alchemilla hoppeana,Alchemilla,1.2a,1.2,1
Alchemilla impexa,Alchemilla,1.2a,1.2,1
Alchemilla lineata,Alchemilla,1.2a,1.2,1
Alchemilla lunaria,Alchemilla,1.2a,1.2,1
Alchemilla micans,Alchemilla,1.2a,1.2,1
Alchemilla monticola,Alchemilla,1.2a,1.2,1
Alchemilla obtusa,Alchemilla,1.2a,1.2,1
Alchemilla pallens,Alchemilla,1.2a,1.2,1
Alchemilla propinqua,Alchemilla,1.2a,1.2,1
Alchemilla reniformis,Alchemilla,1.2a,1.2,1
Alchemilla rubristipula,Alchemilla,1.2a,1.2,1
Alchemilla straminea,Alchemilla,1.2a,1.2,1
Alchemilla strigosula,Alchemilla,1.2a,1.2,1
Alchemilla subcrenata,Alchemilla,1.2a,1.2,1
Alchemilla subglobosa,Alchemilla,1.2a,1.2,1
Alchemilla tenuis,Alchemilla,1.2a,1.2,1
Alchemilla tirolensis,Alchemilla,1.2a,1.2,1
Alchemilla undulata,Alchemilla,1.2a,1.2,1
Alchemilla versipila,Alchemilla,1.2a,1.2,1
Alchemilla vulgaris,Alchemilla,1.2a,1.2,1
Alchemilla xanthochlora,Alchemilla,1.2a,1.2,1
Allium carinatum,Allium,1.2bd,1.2,1
Allium cirrhosum,Allium,1.2bd,1.2,1
Androsace chamaejasme,Androsace,4.1,4.1,4
Anemone narcissiflora,Anemone,1.1,1.1,1
Anemone nemorosa,Anemone,1.1,1.1,1
Antennaria dioica,Antennaria,7.2a,7.2,7
Anthericum ramosum,Anthericum,1.2a,1.2,1
Anthoxanthum alpinum,Anthoxanthum,0,0,0
Anthoxanthum aristatum,Anthoxanthum,0,0,0
Anthoxanthum odoratum,Anthoxanthum,0,0,0
Anthriscus nitida,Anthriscus,1.2a,1.2,1
Anthriscus sylvestris,Anthriscus,1.2a,1.2,1
Anthyllis vulneraria,Anthyllis,6.1c,6.1,6
Aposeris foetida,Aposeris,7.2b,7.2,7
Aquilegia atrata,Aquilegia,3.2,3.2,3
Arabis alpina,Arabis,1.2bb,1.2,1
Arabis bellidifolia,Arabis,1.2bb,1.2,1
Arabis caerulea,Arabis,1.2bb,1.2,1
Arabis caucasica,Arabis,1.2bb,1.2,1
Arabis ciliata,Arabis,1.2bb,1.2,1
Arabis hirsuta,Arabis,1.2bb,1.2,1
Arabis nemorensis,Arabis,1.2bb,1.2,1
Arabis sagittata,Arabis,1.2bb,1.2,1
Arctostaphylos alpinus,Arctostaphylos,3.1,3.1,3
Arenaria ciliata,Arenaria,1.2bb,1.2,1
Arrhenatherum elatius,Arrhenatherum,0,0,0
Aster bellidiastrum,Aster,7.2c,7.2,7
Bartsia alpina,Bartsia,5.3,5.3,5
Bellis perennis,Bellis,7.2c,7.2,7
Berberis vulgaris,Berberis,1.2bc,1.2,1
Betonica alopecuros,Betonica,5.1,5.1,5
Betonica officinalis,Betonica,5.1,5.1,5
Biscutella laevigata,Biscutella,1.2bb,1.2,1
Bistorta vivipara,Bistorta,3.2,3.2,3
Brachypodium pinnatum,Brachypodium,0,0,0
Brachypodium rupestre,Brachypodium,0,0,0
Brachypodium sylvaticum,Brachypodium,0,0,0
Briza media,Briza,0,0,0
Buphthalmum salicifolium,Buphthalmum,7.2c,7.2,7
Calamagrostis varia,Calamagrostis,0,0,0
Calluna vulgaris,Calluna,3.1,3.1,3
Caltha palustris,Caltha,1.2bd,1.2,1
Campanula alpina,Campanula,3.2,3.2,3
Campanula cochleariifolia,Campanula,3.2,3.2,3
Campanula glomerata,Campanula,3.2,3.2,3
Campanula patula,Campanula,3.2,3.2,3
Campanula scheuchzeri,Campanula,3.2,3.2,3
Campanula trachelium,Campanula,3.2,3.2,3
Cardamine dentata,Cardamine,1.2bb,1.2,1
Cardamine pratensis,Cardamine,1.2bb,1.2,1
Cardamine udicola,Cardamine,1.2bb,1.2,1
Carduus defloratus,Carduus,7.2a,7.2,7
Carex alba,Carex,0,0,0
Carex atrata,Carex,0,0,0
Carex caryophyllea,Carex,0,0,0
Carex digitata,Carex,0,0,0
Carex ericetorum,Carex,0,0,0
Carex ferruginea,Carex,0,0,0
Carex firma,Carex,0,0,0
Carex flacca,Carex,0,0,0
Carex nigra,Carex,0,0,0
Carex ovalis,Carex,0,0,0
Carex pallescens,Carex,0,0,0
Carex panicea,Carex,0,0,0
Carex parviflora,Carex,0,0,0
Carex sempervirens,Carex,0,0,0
Carex vaginata,Carex,0,0,0
Carlina acaulis,Carlina,7.2a,7.2,7
Carlina biebersteinii,Carlina,7.2a,7.2,7
Carlina vulgaris,Carlina,7.2a,7.2,7
Carum carvi,Carum,1.2a,1.2,1
Centaurea jacea,Centaurea,7.2a,7.2,7
Centaurea microptilon,Centaurea,7.2a,7.2,7
Centaurea scabiosa,Centaurea,7.2a,7.2,7
Cephalanthera longifolia,Cephalanthera,5.4,5.4,5
Cerastium fontanum,Cerastium,1.2bb,1.2,1
Cerastium holosteoides,Cerastium,1.2bb,1.2,1
Cerastium latifolium,Cerastium,1.2bb,1.2,1
Cerastium lucorum,Cerastium,1.2bb,1.2,1
Chaerophyllum hirsutum,Chaerophyllum,1.2a,1.2,1
Chrysosplenium alternifolium,Chrysosplenium,1.2a,1.2,1
Cirsium arvense,Cirsium,7.2a,7.2,7
Cirsium oleraceum,Cirsium,7.2a,7.2,7
Cirsium palustre,Cirsium,7.2a,7.2,7
Cirsium spinosissimum,Cirsium,7.2a,7.2,7
Cirsium vulgare,Cirsium,7.2a,7.2,7
Clinopodium vulgare,Clinopodium,5.1,5.1,5
Coeloglossum viride,Coeloglossum,5.4,5.4,5
Convallaria majalis,Convallaria,3.1,3.1,3
Crepis alpestris,Crepis,7.2b,7.2,7
Crepis aurea,Crepis,7.2b,7.2,7
Crepis biennis,Crepis,7.2b,7.2,7
Crepis paludosa,Crepis,7.2b,7.2,7
Crepis terglouensis,Crepis,7.2b,7.2,7
Crocus albiflorus,Crocus,2.1,2.1,2
Crocus vernus,Crocus,2.1,2.1,2
Cruciata laevipes,Cruciata,1.2a,1.2,1
Cuscuta epithymum,Cuscuta,3.2,3.2,3
Cuscuta trifolii,Cuscuta,3.2,3.2,3
Cynosurus cristatus,Cynosurus,0,0,0
Dactylis glomerata,Dactylis,0,0,0
Dactylis polygama,Dactylis,0,0,0
Dactylorhiza cruenta,Dactylorhiza,5.4,5.4,5
Dactylorhiza curvifolia,Dactylorhiza,5.4,5.4,5
Dactylorhiza fuchsii,Dactylorhiza,5.4,5.4,5
Dactylorhiza incarnata,Dactylorhiza,5.4,5.4,5
Dactylorhiza lapponica,Dactylorhiza,5.4,5.4,5
Dactylorhiza maculata,Dactylorhiza,5.4,5.4,5
Dactylorhiza majalis,Dactylorhiza,5.4,5.4,5
Dactylorhiza praetermissa,Dactylorhiza,5.4,5.4,5
Dactylorhiza ruthei,Dactylorhiza,5.4,5.4,5
Dactylorhiza sphagnicola,Dactylorhiza,5.4,5.4,5
Dactylorhiza traunsteineri,Dactylorhiza,5.4,5.4,5
Dactylorhiza xtransiens,Dactylorhiza,5.4,5.4,5
Daphne mezereum,Daphne,4.1,4.1,4
Daucus carota,Daucus,1.2a,1.2,1
Dentaria enneaphyllos,Dentaria,1.2bb,1.2,1
Deschampsia cespitosa,Deschampsia,0,0,0
Deschampsia littoralis,Deschampsia,0,0,0
Deschampsia wibeliana,Deschampsia,0,0,0
Doronicum grandiflorum,Doronicum,7.2c,7.2,7
Draba aizoides,Draba,1.2bb,1.2,1
Dryas octopetala,Dryas,1.2ba,1.2,1
Epilobium alpestre,Epilobium,1.2ba,1.2,1
Epilobium alsinifolium,Epilobium,1.2ba,1.2,1
Epilobium angustifolium,Epilobium,1.2ba,1.2,1
Epilobium montanum,Epilobium,1.2ba,1.2,1
Epipactis atrorubens,Epipactis,5.4,5.4,5
Erica carnea,Erica,3.1,3.1,3
Erigeron annuus,Erigeron,7.2c,7.2,7
Erigeron uniflorus,Erigeron,7.2c,7.2,7
Eupatorium cannabinum,Eupatorium,7.2a,7.2,7
Euphorbia amygdaloides,Euphorbia,1.2a,1.2,1
Euphorbia cyparissias,Euphorbia,1.2a,1.2,1
Euphrasia frigida,Euphrasia,5.1,5.1,5
Euphrasia minima,Euphrasia,5.1,5.1,5
Euphrasia officinalis,Euphrasia,5.1,5.1,5
Festuca nigrescens,Festuca,0,0,0
Festuca pratensis,Festuca,0,0,0
Festuca quadriflora,Festuca,0,0,0
Fragaria moschata,Fragaria,1.2ba,1.2,1
Fragaria vesca,Fragaria,1.2ba,1.2,1
Fragaria viridis,Fragaria,1.2ba,1.2,1
Fragaria xananassa,Fragaria,1.2ba,1.2,1
Galeobdolon argentatum,Galeobdolon,5.1,5.1,5
Galeobdolon flavidum,Galeobdolon,5.1,5.1,5
Galeobdolon luteum,Galeobdolon,5.1,5.1,5
Galeobdolon montanum,Galeobdolon,5.1,5.1,5
Galeopsis speciosa,Galeopsis,5.1,5.1,5
Galeopsis tetrahit,Galeopsis,5.1,5.1,5
Galium album,Galium,1.2a,1.2,1
Galium anisophyllon,Galium,1.2a,1.2,1
Galium pumilum,Galium,1.2a,1.2,1
Galium sterneri,Galium,1.2a,1.2,1
Galium suecicum,Galium,1.2a,1.2,1
Galium valdepilosum,Galium,1.2a,1.2,1
Gentiana asclepiadea,Gentiana,2.1,2.1,2
Gentiana bavarica,Gentiana,4.1,4.1,4
Gentiana clusii,Gentiana,2.1,2.1,2
Gentiana cruciata,Gentiana,2.1,2.1,2
Gentiana nivalis,Gentiana,4.1,4.1,4
Gentiana pannonica,Gentiana,2.1,2.1,2
Gentiana utriculosa,Gentiana,4.1,4.1,4
Gentiana verna,Gentiana,4.1,4.1,4
Gentianella aspera,Gentianella,2.1,2.1,2
Gentianella ciliata,Gentianella,2.1,2.1,2
Geranium purpureum,Geranium,1.2bb,1.2,1
Geranium robertianum,Geranium,1.2bb,1.2,1
Geranium sylvaticum,Geranium,1.2bb,1.2,1
Geum rivale,Geum,3.2,3.2,3
Geum urbanum,Geum,1.2ba,1.2,1
Glechoma hederacea,Glechoma,5.1,5.1,5
Globularia cordifolia,Globularia,7.1,7.1,7
Globularia nudicaulis,Globularia,7.1,7.1,7
Gymnadenia conopsea,Gymnadenia,5.4,5.4,5
Gymnadenia odoratissima,Gymnadenia,5.4,5.4,5
Gypsophila repens,Gypsophila,2.2,2.2,2
Hedysarum hedysaroides,Hedysarum,6.1a,6.1,6
Helianthemum alpestre,Helianthemum,1.1,1.1,1
Helianthemum nummularium,Helianthemum,1.1,1.1,1
Helictotrichon pubescens,Helictotrichon,0,0,0
Helleborus niger,Helleborus,1.2bf,1.2,1
Hepatica nobilis,Hepatica,1.1,1.1,1
Heracleum austriacum,Heracleum,1.2a,1.2,1
Heracleum sphondylium,Heracleum,1.2a,1.2,1
Hieracium adriaticiforme,Hieracium,7.2b,7.2,7
Hieracium anchusoides,Hieracium,7.2b,7.2,7
Hieracium angustifolium,Hieracium,7.2b,7.2,7
Hieracium apatelium,Hieracium,7.2b,7.2,7
Hieracium aridum,Hieracium,7.2b,7.2,7
Hieracium arnoserioides,Hieracium,7.2b,7.2,7
Hieracium arvicola,Hieracium,7.2b,7.2,7
Hieracium aurantiacum,Hieracium,7.2b,7.2,7
Hieracium auriculoides,Hieracium,7.2b,7.2,7
Hieracium basifurcum,Hieracium,7.2b,7.2,7
Hieracium bauhini,Hieracium,7.2b,7.2,7
Hieracium bifidum,Hieracium,7.2b,7.2,7
Hieracium bifurcum,Hieracium,7.2b,7.2,7
Hieracium brachiatum,Hieracium,7.2b,7.2,7
Hieracium brachycomum,Hieracium,7.2b,7.2,7
Hieracium caespitosum,Hieracium,7.2b,7.2,7
Hieracium calodon,Hieracium,7.2b,7.2,7
Hieracium chaetocephalum,Hieracium,7.2b,7.2,7
Hieracium chlorops,Hieracium,7.2b,7.2,7
Hieracium cinereiforme,Hieracium,7.2b,7.2,7
Hieracium cochleatum,Hieracium,7.2b,7.2,7
Hieracium cymosum,Hieracium,7.2b,7.2,7
Hieracium densiflorum,Hieracium,7.2b,7.2,7
Hieracium dubium,Hieracium,7.2b,7.2,7
Hieracium echioides,Hieracium,7.2b,7.2,7
Hieracium euchaetium,Hieracium,7.2b,7.2,7
Hieracium fallaciforme,Hieracium,7.2b,7.2,7
Hieracium fallacinum,Hieracium,7.2b,7.2,7
Hieracium fallax,Hieracium,7.2b,7.2,7
Hieracium flagellare,Hieracium,7.2b,7.2,7
Hieracium floribundum,Hieracium,7.2b,7.2,7
Hieracium fuscum,Hieracium,7.2b,7.2,7
Hieracium glomeratum,Hieracium,7.2b,7.2,7
Hieracium guthnickianum,Hieracium,7.2b,7.2,7
Hieracium heterodoxum,Hieracium,7.2b,7.2,7
Hieracium hoppeanum,Hieracium,7.2b,7.2,7
Hieracium hybridum,Hieracium,7.2b,7.2,7
Hieracium hypeuryum,Hieracium,7.2b,7.2,7
Hieracium iseranum,Hieracium,7.2b,7.2,7
Hieracium kalksburgense,Hieracium,7.2b,7.2,7
Hieracium koernickeanum,Hieracium,7.2b,7.2,7
Hieracium lactucella,Hieracium,7.2b,7.2,7
Hieracium leptoclados,Hieracium,7.2b,7.2,7
Hieracium leptophyton,Hieracium,7.2b,7.2,7
Hieracium leucense,Hieracium,7.2b,7.2,7
Hieracium longisquamum,Hieracium,7.2b,7.2,7
